2000000015_00001,103
2000000016_00001,250
2000000017_00001,120
2000000018_00001,180
2000000019_00001,105
2000000022_00001,131
2000000024_00001,42
2000000027_00001,36
2000000028_00001,44
2000000030_00001,18
2000000047_00001,278
2000000056_00001,62
2000000057_00001,76
2000000069_00001,96
2000000081_00001,29
2000000100_00001,464
2000000101_00001,25
2000000114_00001,48
2000000206_00001,55
4507000322_00010,9
4507000322_00020,21
4507000322_00060,18
4507000322_00140,13
4507000322_00180,10
4507000322_00200,13
4507000322_00210,9
4507000322_00220,21
4507000322_00240,14
4507000430_00010,245
4507000430_00020,116
4507000430_00030,18
4507000436_00010,513
4507000440_00010,923
4507000444_00010,82
4507000445_00010,258
4507000449_00010,293
4507000449_00030,151
4507000449_00040,151
4507000449_00060,500
4507000449_00070,153
4507000449_00090,57
4507000451_00020,30
4507000454_00010,196
4507000455_00010,99
4507000561_00010,253
4507000643_00010,231
4507000644_00010,245
4507000645_00010,92
4507000647_00010,833
4507000650_00010,222
4507000676_00010,40
4507000684_00010,399
4507000693_00010,51
4507000698_00010,115
4507000699_00010,45
4507000709_00010,71
4507000709_00020,266
4507000831_00010,179
4507000879_00010,186
4507000879_00020,226
4507000879_00030,183
4507000879_00040,161
4507000879_00050,194
4507000879_00060,217
4507000879_00070,211
4507000879_00080,185
4507000879_00090,158
4507000879_00100,194
4507000879_00110,251
4507000879_00120,133
4507000879_00130,107
4507000879_00140,104
4507000879_00150,35
4507000879_00160,44
4507000886_00010,171
4507000890_00010,189
4507000896_00010,153
4507000898_00010,109
4507000902_00010,39
4507000906_00010,35
4507000906_00020,61
4507000906_00030,32
4507000906_00040,61
4507000906_00050,56
4507000906_00060,59
4507000906_00070,59
4507000906_00080,45
4507000906_00100,64
4507000916_00040,9
4507001097_00010,268
4507001103_00001,29
4507001238_00010,11
4507001261_00010,40
4507001265_00010,63
4507001269_00010,162
4507001281_00010,140
4507001306_00010,235
4507001307_00010,28
4507001308_00010,96
4507001318_00001,88
4507001323_00001,38
4507001339_00030,6
4507001339_00040,6
4507001443_00010,55
4507001456_00030,8
4507001607_00010,78
4507001607_00020,316
4507001607_00030,63
4507001607_00040,221
4507001607_00050,254
4507001607_00070,241
4507001632_00020,9
4507001739_00010,125
4507001782_00010,8
4507001814_00010,52
4507001870_00001,32
4507001898_00010,68
4507001901_00010,271
4507001973_00010,745
4507002116_00010,7
4507002153_00001,54
4507002185_00010,9
4507002467_00010,185
4507002467_00020,95
4507002471_00001,10
4507002798_00040,8
